name,sector
Insulet Corporation,Health Care
Intuitive Surgical,Health Care
Johnson & Johnson,Health Care
Labcorp,Health Care
Lilly (Eli),Health Care
McKesson Corporation,Health Care
Medtronic,Health Care
Merck & Co.,Health Care
Mettler Toledo,Health Care
Moderna,Health Care
Pfizer,Health Care
Quest Diagnostics,Health Care
Regeneron Pharmaceuticals,Health Care
ResMed,Health Care
Revvity,Health Care
Solventum,Health Care
Steris,Health Care
Stryker Corporation,Health Care
Thermo Fisher Scientific,Health Care
UnitedHealth Group,Health Care
Universal Health Services,Health Care
Vertex Pharmaceuticals,Health Care
Viatris,Health Care
Waters Corporation,Health Care
West Pharmaceutical Services,Health Care
Zimmer Biomet,Health Care
Zoetis,Health Care
3M,Industrials
A. O. Smith,Industrials
Allegion,Industrials
Ametek,Industrials
Automatic Data Processing,Industrials
Axon Enterprise,Industrials
Boeing,Industrials
Broadridge Financial Solutions,Industrials
Builders FirstSource,Industrials
C.H. Robinson,Industrials
CSX Corporation,Industrials
Carrier Global,Industrials
Caterpillar Inc.,Industrials
Cintas,Industrials
Comfort Systems USA,Industrials
Copart,Industrials
Cummins,Industrials
Deere & Company,Industrials
Delta Air Lines,Industrials
Dover Corporation,Industrials
Eaton Corporation,Industrials
Emcor,Industrials
Emerson Electric,Industrials
Equifax,Industrials
Expeditors International,Industrials
Fastenal,Industrials
FedEx,Industrials
Fortive,Industrials
GE Aerospace,Industrials
GE Vernova,Industrials
Generac,Industrials
General Dynamics,Industrials
Honeywell,Industrials
Howmet Aerospace,Industrials
Hubbell Incorporated,Industrials
Huntington Ingalls Industries,Industrials
IDEX Corporation,Industrials
Illinois Tool Works,Industrials
Ingersoll Rand,Industrials
J.B. Hunt,Industrials
Jacobs Solutions,Industrials
Johnson Controls,Industrials
L3Harris,Industrials
Leidos,Industrials
Lennox International,Industrials
Lockheed Martin,Industrials
Masco,Industrials
Nordson Corporation,Industrials
Norfolk Southern,Industrials
Northrop Grumman,Industrials
Old Dominion,Industrials
Otis Worldwide,Industrials
Paccar,Industrials
Parker Hannifin,Industrials
Paychex,Industrials
Pentair,Industrials
Quanta Services,Industrials
RTX Corporation,Industrials
Republic Services,Industrials
Rockwell Automation,Industrials
"Rollins, Inc.",Industrials
Snap-on,Industrials
Southwest Airlines,Industrials
Stanley Black & Decker,Industrials
Textron,Industrials
Trane Technologies,Industrials
TransDigm Group,Industrials
Uber,Industrials
Union Pacific Corporation,Industrials
United Airlines Holdings,Industrials
United Parcel Service,Industrials
United Rentals,Industrials
Veralto,Industrials
Verisk Analytics,Industrials
Vertiv,Industrials
W. W. Grainger,Industrials
Wabtec,Industrials
Waste Management,Industrials
Xylem Inc.,Industrials
Accenture,Information Technology
Adobe Inc.,Information Technology
Advanced Micro Devices,Information Technology
Akamai Technologies,Information Technology
Amphenol,Information Technology
Analog Devices,Information Technology
AppLovin,Information Technology
Apple Inc.,Information Technology
Applied Materials,Information Technology
Arista Networks,Information Technology
Autodesk,Information Technology
Broadcom,Information Technology
CDW Corporation,Information Technology
Cadence Design Systems,Information Technology
Ciena,Information Technology
Cisco,Information Technology
Cognizant,Information Technology
Coherent Corp.,Information Technology
Corning Inc.,Information Technology
CrowdStrike,Information Technology
Datadog,Information Technology
Dell Technologies,Information Technology
EPAM Systems,Information Technology
"F5, Inc.",Information Technology
Fair Isaac,Information Technology
First Solar,Information Technology
Fortinet,Information Technology
Gartner,Information Technology
Gen Digital,Information Technology
GoDaddy,Information Technology
HP Inc.,Information Technology
Hewlett Packard Enterprise,Information Technology
IBM,Information Technology
Intel,Information Technology
Intuit,Information Technology
Jabil,Information Technology
KLA Corporation,Information Technology
Keysight Technologies,Information Technology
Lam Research,Information Technology
Lumentum,Information Technology
Microchip Technology,Information Technology
Micron Technology,Information Technology
Microsoft,Information Technology
Monolithic Power Systems,Information Technology
Motorola Solutions,Information Technology
NXP Semiconductors,Information Technology
NetApp,Information Technology
Nvidia,Information Technology
ON Semiconductor,Information Technology
Oracle Corporation,Information Technology
PTC Inc.,Information Technology
Palantir Technologies,Information Technology
Palo Alto Networks,Information Technology
Qnity Electronics,Information Technology
Qualcomm,Information Technology
Roper Technologies,Information Technology
Salesforce,Information Technology
Sandisk,Information Technology
Seagate Technology,Information Technology
ServiceNow,Information Technology
Skyworks Solutions,Information Technology
Supermicro,Information Technology
Synopsys,Information Technology
TE Connectivity,Information Technology
Teledyne Technologies,Information Technology
Teradyne,Information Technology
Texas Instruments,Information Technology
Trimble Inc.,Information Technology
Tyler Technologies,Information Technology
Verisign,Information Technology
Western Digital,Information Technology
"Workday, Inc.",Information Technology
Zebra Technologies,Information Technology
Air Products,Materials
Albemarle Corporation,Materials
Amcor,Materials
Avery Dennison,Materials
Ball Corporation,Materials
CF Industries,Materials
CRH plc,Materials
Corteva,Materials
Dow Inc.,Materials
DuPont,Materials
Ecolab,Materials
Freeport-McMoRan,Materials
International Flavors & Fragrances,Materials
International Paper,Materials
Linde plc,Materials
LyondellBasell,Materials
Martin Marietta Materials,Materials
Mosaic Company (The),Materials
Newmont,Materials
Nucor,Materials
PPG Industries,Materials
Packaging Corporation of America,Materials
Sherwin-Williams,Materials
Smurfit Westrock,Materials
Steel Dynamics,Materials
Vulcan Materials Company,Materials
Alexandria Real Estate Equities,Real Estate
American Tower,Real Estate
AvalonBay Communities,Real Estate
"BXP, Inc.",Real Estate
CBRE Group,Real Estate
Camden Property Trust,Real Estate
CoStar Group,Real Estate
Crown Castle,Real Estate
Digital Realty,Real Estate
Equinix,Real Estate
Equity Residential,Real Estate
Essex Property Trust,Real Estate
Extra Space Storage,Real Estate
Federal Realty Investment Trust,Real Estate
Healthpeak Properties,Real Estate
Host Hotels & Resorts,Real Estate
Invitation Homes,Real Estate
Iron Mountain,Real Estate
Kimco Realty,Real Estate
Mid-America Apartment Communities,Real Estate
Prologis,Real Estate
Public Storage,Real Estate
Realty Income,Real Estate
Regency Centers,Real Estate
SBA Communications,Real Estate
Simon Property Group,Real Estate
"UDR, Inc.",Real Estate
Ventas,Real Estate
Vici Properties,Real Estate
Welltower,Real Estate
Weyerhaeuser,Real Estate
AES Corporation,Utilities
Alliant Energy,Utilities
Ameren,Utilities
American Electric Power,Utilities
American Water Works,Utilities
Atmos Energy,Utilities
CMS Energy,Utilities
CenterPoint Energy,Utilities
Consolidated Edison,Utilities
Constellation Energy,Utilities
DTE Energy,Utilities
Dominion Energy,Utilities
Duke Energy,Utilities
Edison International,Utilities
Entergy,Utilities
Evergy,Utilities
Eversource Energy,Utilities
Exelon,Utilities
FirstEnergy,Utilities
NRG Energy,Utilities
NextEra Energy,Utilities
NiSource,Utilities
PG&E Corporation,Utilities
PPL Corporation,Utilities
Pinnacle West Capital,Utilities
Public Service Enterprise Group,Utilities
Sempra,Utilities
Southern Company,Utilities
Vistra Corp.,Utilities
WEC Energy Group,Utilities
Xcel Energy,Utilities
